Study_Hours,Attendance_Percentage,Previous_Scores,Sleep_Hours,Participation_Level,Passed
19.8,71.5,82.0,6.3,4,1
15.9,71.9,78.0,8.0,2,1
5.6,69.3,51.0,7.1,2,0
2.1,61.7,46.1,5.8,3,0
16.7,60.7,75.1,8.5,3,1
14.7,99.5,83.6,8.5,5,1
15.1,77.1,73.1,8.5,4,1
15.9,75.4,77.7,6.0,3,1
3.3,87.2,50.4,6.8,1,0
8.5,,58.1,8.9,4,1
4.1,98.0,71.6,8.1,4,1
17.5,91.5,85.2,5.1,3,1
13.2,63.6,61.4,5.3,4,1
8.0,76.7,56.1,6.9,3,1
3.1,95.2,68.8,8.6,2,1
7.6,97.8,73.2,7.2,5,1
7.9,78.7,52.2,7.0,2,1
15.1,84.5,69.7,5.4,3,1
13.5,66.7,63.2,7.6,3,1
18.0,99.6,88.8,8.3,2,1
10.5,69.3,62.4,6.5,1,1
4.2,97.7,63.4,8.1,1,1
14.8,86.0,74.6,8.9,1,1
15.7,84.3,77.3,5.8,3,1
12.1,80.5,74.2,7.1,4,1
15.9,69.2,63.6,6.1,3,1
10.9,67.1,73.2,8.2,4,1
,68.8,64.5,7.3,2,1
9.7,67.5,67.5,7.5,5,1
2.5,91.2,53.1,8.2,4,0
,74.0,53.3,6.6,1,0
2.6,62.3,40.0,8.7,3,0
13.5,98.8,75.5,7.1,2,1
7.7,95.4,64.8,5.6,1,1
11.2,97.1,74.6,7.8,2,1
18.3,99.8,91.2,8.2,5,1
6.5,67.0,48.0,6.3,3,0
9.4,75.8,57.8,8.4,3,1
15.6,90.3,81.5,8.6,5,1
6.1,87.8,60.2,6.1,3,1
3.4,66.2,40.9,8.9,4,0
7.2,92.6,61.3,5.6,2,1
4.9,69.0,51.5,5.8,1,0
18.7,69.0,86.1,5.7,5,1
16.5,81.5,76.6,8.6,4,1
13.4,83.7,75.5,7.6,1,1
17.7,83.2,69.1,5.6,1,1
16.5,63.7,86.9,6.8,5,1
5.4,95.1,72.8,7.5,4,1
,70.6,70.6,5.3,1,1
11.7,65.2,59.9,8.5,1,1
16.5,95.5,81.8,8.2,4,1
18.1,98.2,91.7,7.0,3,1
7.7,94.5,63.8,8.9,1,1
,92.4,54.0,6.7,2,0
6.1,86.2,61.0,8.9,4,1
9.7,82.0,59.6,7.7,1,1
16.7,63.5,69.5,7.5,5,1
17.5,76.3,72.9,5.7,2,1
2.1,74.9,36.5,8.5,1,0
11.2,70.4,65.9,6.7,2,1
9.5,88.9,62.8,5.6,2,1
6.0,79.8,51.8,5.1,3,1
4.2,63.2,48.1,7.2,2,0
8.1,68.8,58.4,7.1,3,0
19.0,87.3,93.6,7.9,4,1
7.8,63.0,57.7,8.6,3,0
11.3,94.0,89.4,5.3,5,1
14.7,79.8,70.4,7.9,1,1
8.5,79.2,57.4,5.7,4,1
19.5,83.7,90.2,8.4,4,1
19.3,93.0,91.8,8.3,5,1
6.5,73.9,51.2,7.2,3,0
11.0,87.1,68.0,7.8,1,1
7.4,82.6,66.5,6.3,3,1
7.1,70.7,49.4,6.9,2,0
2.7,95.1,65.3,8.3,3,1
13.0,91.9,74.9,6.8,4,1
11.0,86.3,66.0,6.4,1,1
2.9,94.0,60.8,7.0,3,0
7.0,94.7,61.4,8.3,1,1
18.3,88.3,74.0,6.3,1,1
6.3,93.5,68.0,5.7,2,1
4.6,87.9,54.0,7.8,2,1
10.8,87.2,76.9,8.3,4,1
19.7,84.7,85.5,5.4,5,1
6.4,90.1,54.3,6.0,1,0
14.1,66.3,75.7,5.6,5,1
15.7,95.2,88.7,6.4,4,1
6.3,94.9,59.8,6.8,1,1
15.1,61.2,64.6,8.0,1,1
8.6,93.0,69.0,7.6,5,1
13.4,,65.9,7.5,3,1
13.4,73.4,68.2,6.4,2,1
11.6,89.7,72.3,8.4,3,1
3.6,66.4,46.3,6.9,5,0
17.0,92.7,84.8,8.9,2,1
7.8,93.3,67.9,7.5,3,1
5.4,80.3,52.5,5.5,2,1
2.7,60.3,32.4,7.7,1,0
12.6,71.5,67.1,6.3,3,1
14.2,84.7,72.4,7.7,2,1
2.3,99.2,53.0,5.3,2,0
11.2,85.3,69.3,5.7,2,1
6.1,70.4,61.4,8.4,3,0
13.6,85.4,76.1,5.9,4,1
5.1,81.6,64.6,8.3,3,1
14.4,91.2,95.0,6.1,5,1
9.0,64.3,51.3,7.6,3,1
18.9,90.4,87.0,7.8,2,1
4.5,81.7,62.3,7.1,1,0
8.1,98.5,70.9,6.2,3,1
4.0,73.7,51.1,5.9,3,0
18.6,85.3,75.6,5.1,2,1
17.8,97.3,83.6,6.2,1,1
6.6,64.1,50.1,7.6,1,0
13.9,97.5,98.7,8.8,5,1
16.7,87.5,82.2,8.5,3,1
12.0,62.7,49.0,8.1,1,0
11.5,72.0,54.1,8.2,1,1
6.4,88.3,64.7,7.7,4,1
3.7,62.7,52.6,6.0,4,0
18.1,83.3,83.1,8.6,1,1
18.2,73.8,85.6,7.7,5,1
13.4,84.8,77.8,7.2,1,1
8.1,61.8,47.5,5.4,2,0
8.3,94.9,70.1,6.8,3,1
15.1,98.9,87.0,6.8,5,1
18.1,98.8,88.3,8.5,2,1
18.0,90.0,85.9,7.2,5,1
16.0,65.2,67.0,6.5,2,1
13.6,90.3,78.1,8.9,3,1
3.5,61.0,41.7,5.4,3,0
4.9,60.9,47.5,6.7,4,0
18.2,72.9,78.8,5.2,2,1
12.9,79.5,79.8,8.0,4,1
2.2,90.8,60.3,8.7,2,0
3.8,87.3,63.1,6.1,4,1
13.9,77.8,66.5,8.4,3,1
2.1,70.9,47.9,6.2,5,0
4.9,99.9,66.4,8.6,4,1
11.9,77.0,63.0,8.0,2,1
14.5,78.1,73.6,8.2,2,1
13.7,66.5,58.8,5.1,3,1
6.0,91.8,70.4,8.9,2,1
14.8,87.7,81.5,7.9,1,1
6.3,68.8,59.3,6.2,5,0
7.9,63.3,55.1,8.3,4,0
15.4,87.2,90.6,6.1,5,1
13.7,86.2,79.9,8.5,3,1
17.3,70.9,83.6,5.5,4,1
13.8,98.0,84.4,7.8,4,1
12.2,66.0,68.4,7.2,1,1
3.7,77.3,57.9,5.4,3,0
8.6,97.7,72.7,6.0,2,1
6.8,76.8,60.2,5.0,1,1
6.4,85.5,55.5,6.9,1,1
19.5,75.9,81.1,6.2,5,1
9.1,71.0,65.2,7.4,5,1
18.1,99.4,95.5,6.2,5,1
13.4,76.4,65.9,6.2,1,1
16.3,95.8,90.6,8.0,2,1
11.0,69.2,65.5,5.2,4,1
12.4,68.5,70.3,8.6,5,1
10.9,61.2,54.7,8.4,2,1
5.5,86.1,64.5,7.7,3,1
15.0,74.7,80.9,7.4,5,1
7.1,94.6,73.8,8.6,4,1
2.4,78.9,47.9,5.7,3,0
13.6,98.7,89.1,5.3,3,1
5.2,67.4,61.3,6.0,4,0
18.9,94.7,99.4,8.2,5,1
19.2,91.1,81.8,5.1,1,1
18.5,90.8,86.3,7.3,4,1
8.7,93.8,70.3,9.0,4,1
2.3,90.4,55.0,8.4,4,0
18.7,85.0,85.6,7.1,3,1
9.7,65.2,59.2,5.3,2,1
19.4,61.3,72.9,8.3,1,1
19.3,96.8,98.1,7.4,5,1
17.4,84.7,85.8,5.5,5,1
7.3,91.9,64.2,5.4,2,1
8.9,79.3,69.5,8.6,4,1
17.3,64.7,58.9,7.7,1,1
7.7,,57.9,8.3,5,1
5.1,87.4,65.3,8.5,5,1
12.0,77.2,74.6,7.3,4,1
18.9,68.0,70.7,7.1,2,1
14.5,79.7,65.6,6.7,1,1
12.3,62.6,62.7,6.3,2,1
3.7,83.3,43.6,6.7,2,0
13.1,70.8,70.2,8.1,1,1
19.8,91.9,88.7,7.4,1,1
4.5,72.4,63.0,8.6,5,0
11.3,78.2,66.3,6.8,5,1
17.8,60.5,65.6,7.4,1,1
15.3,62.9,56.1,7.5,3,1
14.5,75.7,73.0,7.4,5,1
14.6,79.2,74.0,7.8,3,1
8.5,84.0,51.1,5.9,1,0
7.3,71.7,58.4,7.0,5,1
16.6,87.8,71.1,5.4,2,1
,94.4,81.1,6.5,1,1
17.6,91.2,94.5,7.0,4,1
18.4,61.6,73.5,7.6,3,1
11.2,79.2,72.3,8.8,1,1
11.0,64.2,60.1,7.4,1,1
16.4,69.7,84.3,8.0,5,1
13.7,99.5,83.3,7.0,5,1
14.6,65.7,68.2,7.5,5,1
16.3,80.0,82.4,5.3,4,1
18.0,84.7,80.5,6.0,5,1
8.1,88.1,64.6,6.4,1,1
8.8,82.4,67.1,6.9,5,1
3.7,60.4,48.2,5.2,2,0
12.4,73.1,74.7,5.6,5,1
2.6,80.7,59.1,6.1,4,0
10.4,63.5,52.7,8.9,2,1
11.8,74.0,67.8,6.3,1,1
7.2,61.3,54.2,6.9,1,0
12.6,63.1,62.6,5.8,3,1
2.5,75.9,43.3,7.4,2,0
2.7,65.3,40.4,6.1,3,0
16.8,82.7,85.2,5.8,2,1
8.5,87.6,78.2,7.1,2,1
4.3,92.0,57.7,5.0,4,0
11.4,68.0,57.5,5.0,3,1
15.9,66.7,77.7,5.9,4,1
5.9,64.2,44.1,5.1,2,0
13.2,85.5,76.2,5.4,1,1
3.5,88.3,57.5,6.4,2,0
2.9,61.3,44.4,8.2,4,0
11.6,97.4,80.1,7.3,3,1
11.7,62.1,62.4,7.1,3,1
13.5,81.7,74.9,6.2,4,1
15.1,88.4,71.5,8.7,3,1
19.6,94.8,97.4,6.6,5,1
11.3,88.6,76.7,5.3,1,1
7.8,92.1,55.6,7.5,1,0
16.3,73.6,66.6,5.5,1,1
6.9,92.6,68.2,6.4,3,1
9.9,63.2,57.6,7.0,3,1
3.4,95.8,60.8,8.5,2,0
2.5,81.9,46.4,7.0,2,0
19.3,92.7,92.8,7.8,1,1
17.0,78.1,83.4,9.0,5,1
14.5,85.7,79.4,5.5,2,1
9.4,81.1,64.9,6.1,2,1
5.1,89.3,61.7,6.6,3,1
4.8,,54.4,6.7,5,0
6.5,62.4,47.1,6.6,1,0
11.9,69.9,56.8,8.6,2,1
14.9,66.4,78.4,7.9,5,1
13.9,94.9,89.3,7.4,5,1
7.0,68.8,39.9,6.2,1,0
19.2,99.0,94.6,8.3,5,1
15.3,73.5,82.5,8.8,5,1
12.0,67.3,58.5,8.3,5,1
13.0,91.6,80.5,5.0,2,1
9.6,86.3,63.6,7.5,1,1
6.5,79.9,69.6,5.2,5,1
8.4,82.2,67.9,6.0,5,1
15.6,88.8,76.1,5.2,2,1
2.3,69.1,42.6,7.4,1,0
4.1,99.9,64.0,7.7,3,1
2.8,99.0,55.1,5.5,2,0
2.7,86.0,61.6,6.5,1,1
17.4,68.0,73.9,6.8,5,1
14.7,87.2,63.7,6.5,1,1
10.5,62.9,62.4,5.5,1,1
3.8,61.2,37.2,6.7,1,0
10.8,70.3,61.4,8.0,3,1
10.5,78.5,60.5,5.3,1,1
5.1,,60.8,5.3,3,1
9.8,89.1,70.3,6.4,5,1
9.2,89.7,64.2,8.8,3,1
13.1,77.0,75.0,7.7,5,1
13.4,73.8,71.8,7.7,5,1
2.8,74.8,52.7,6.4,3,0
8.7,99.5,73.7,7.4,2,1
13.3,61.6,60.7,5.0,4,1
11.1,94.7,72.0,7.5,1,1
17.4,,82.3,8.7,4,1
13.9,77.5,63.5,7.5,1,1
4.9,89.0,59.8,8.5,1,0
3.3,79.5,55.7,7.9,5,0
13.6,94.9,74.6,5.5,1,1
2.5,96.0,50.7,8.6,1,0
12.5,76.9,64.4,5.3,3,1
18.9,71.1,91.3,7.1,4,1
12.4,83.7,74.2,5.6,3,1
,96.5,62.8,5.0,1,1
13.6,,72.8,6.7,5,1
10.2,84.9,74.3,6.2,3,1
11.8,85.3,73.1,6.9,3,1
18.9,89.3,93.4,7.3,2,1
8.9,65.3,44.8,5.2,1,0
19.3,88.6,83.0,5.5,5,1
18.3,96.4,92.1,7.2,3,1
5.5,67.2,52.0,6.4,3,0
3.2,69.5,34.6,7.9,5,0
3.8,98.9,55.9,7.6,1,0
2.3,67.2,37.2,8.4,2,0
3.7,94.2,53.5,7.8,3,1
14.3,79.7,67.4,6.7,2,1
3.3,69.9,52.5,7.7,4,0
7.7,94.8,59.8,6.1,1,1
17.2,77.8,76.4,6.2,4,1
2.4,80.6,45.0,8.2,4,0
16.7,74.4,84.9,6.8,4,1
7.1,83.7,60.2,8.2,1,1
4.1,66.5,31.1,8.3,1,0
14.5,75.6,72.0,8.4,5,1
13.3,98.8,82.7,8.7,2,1
17.8,70.3,81.2,6.7,2,1
15.2,86.3,87.8,6.3,5,1
16.5,73.0,77.7,7.3,5,1
7.1,90.9,58.0,6.5,4,1
5.2,65.2,57.4,7.4,5,0
15.5,98.8,84.9,7.8,3,1
16.5,78.2,76.5,7.8,2,1
19.8,69.4,83.5,6.5,5,1
9.4,,49.5,5.7,3,0
8.7,66.8,58.6,6.7,3,0
16.0,80.8,79.5,5.6,3,1
8.1,73.5,56.9,8.6,3,0
18.8,93.2,94.4,6.4,4,1
17.5,77.2,72.7,5.6,3,1
9.7,69.9,61.1,5.1,4,1
15.5,84.7,81.5,7.6,4,1
15.6,88.3,72.6,7.5,3,1
3.9,66.7,44.8,6.4,2,0
18.2,66.7,79.5,5.3,3,1
11.1,61.5,57.4,6.6,3,1
16.9,89.5,84.3,6.2,3,1
7.8,86.6,65.6,7.7,2,1
18.1,79.0,75.8,7.4,1,1
9.0,93.8,65.4,6.5,1,1
2.2,92.2,52.6,5.9,4,0
18.3,83.4,86.2,9.0,4,1
3.6,94.7,57.0,6.8,2,0
7.7,68.2,62.1,7.8,5,0
19.1,64.5,75.3,5.6,1,1
19.1,70.8,85.6,6.9,4,1
12.3,62.3,55.2,5.1,1,1
13.4,81.2,60.5,7.0,2,1
10.1,97.5,76.6,8.9,2,1
7.3,61.6,57.5,6.5,5,0
7.9,64.9,55.1,5.2,5,0
14.1,78.1,74.0,5.1,2,1
15.5,97.4,80.5,6.6,4,1
16.2,72.6,76.0,5.6,1,1
16.2,80.3,76.9,5.1,3,1
3.6,61.7,44.0,8.0,5,0
10.9,65.9,57.7,6.8,3,1
3.0,99.5,62.6,6.2,4,0
11.9,98.6,83.0,8.6,5,1
9.9,60.2,56.2,5.5,3,1
18.0,98.1,90.8,8.8,4,1
8.3,85.6,62.4,6.3,1,1
4.1,94.7,63.6,8.6,4,1
4.6,78.2,55.0,7.4,5,0
15.7,80.6,71.7,8.3,2,1
13.1,79.6,71.1,8.9,1,1
3.8,86.7,59.6,6.2,3,1
3.5,65.6,50.1,8.8,5,0
14.6,61.2,68.5,6.6,2,1
3.3,72.3,41.0,6.5,4,0
16.8,88.2,78.9,6.4,2,1
14.7,68.1,67.7,7.2,5,1
3.5,86.9,71.7,5.6,5,1
3.5,98.8,64.0,7.2,2,1
19.8,63.8,79.0,7.2,4,1
8.7,86.9,68.9,8.0,2,1
8.7,77.8,71.8,8.3,5,1
16.6,94.7,96.2,6.8,5,1
19.1,67.1,82.3,6.2,3,1
19.7,87.7,88.0,6.0,3,1
15.6,93.5,77.4,5.8,1,1
8.8,97.8,71.6,5.2,5,1
3.5,87.3,59.2,6.4,3,0
16.0,79.9,75.1,6.1,2,1
12.1,84.7,72.4,8.9,4,1
9.6,94.8,68.3,7.2,2,1
18.3,82.8,93.3,6.4,4,1
4.0,61.2,49.4,7.3,3,0
10.9,97.2,81.5,5.6,1,1
2.2,87.6,54.8,6.8,2,0
10.4,87.1,68.7,7.5,2,1
3.0,68.6,44.2,7.0,2,0
4.1,86.4,54.4,6.6,4,0
4.1,75.8,45.8,9.0,3,0
13.7,86.0,76.9,8.5,2,1
15.4,64.3,62.3,7.5,2,1
12.5,86.3,71.2,7.3,1,1
19.3,100.0,96.2,7.5,1,1
8.7,61.9,51.1,5.8,3,0
7.1,99.1,79.9,6.6,3,1
17.6,76.3,78.5,5.2,5,1
6.0,94.8,66.4,6.9,1,1
19.3,91.3,96.4,7.2,5,1
2.2,82.7,59.7,5.9,4,0
19.5,89.5,88.1,8.9,5,1
2.8,95.1,68.7,8.6,2,1
18.0,76.2,83.3,7.9,5,1
11.5,73.1,68.9,7.1,3,1
19.9,86.7,98.3,8.5,4,1
3.3,92.3,53.8,5.5,2,0
12.0,90.5,83.3,8.2,5,1
19.4,91.9,89.0,5.5,4,1
11.4,77.4,76.5,8.2,4,1
13.3,92.7,73.2,6.1,2,1
14.5,64.8,71.6,8.5,5,1
10.2,81.8,70.8,8.8,4,1
13.3,60.2,68.6,5.6,4,1
12.5,73.0,73.4,6.9,1,1
18.2,74.7,79.5,8.9,4,1
2.8,75.8,51.3,6.9,1,0
7.1,87.8,77.9,8.5,5,1
19.1,75.5,86.8,7.4,5,1
18.0,77.9,82.3,6.5,5,1
10.2,69.5,52.5,6.1,3,0
13.2,74.9,83.2,5.8,5,1
7.0,69.1,55.3,8.0,4,1
5.4,62.9,41.2,6.5,2,0
10.3,84.1,58.0,7.0,1,1
8.4,86.7,61.1,7.0,3,1
12.5,84.8,82.0,7.3,5,1
3.4,78.5,61.4,8.5,5,0
19.5,75.2,83.9,8.9,2,1
19.8,94.5,91.4,6.6,2,1
14.6,80.8,69.3,8.3,3,1
11.6,79.2,61.2,8.1,1,1
7.6,61.0,50.1,7.3,5,0
16.6,73.6,79.0,8.8,3,1
14.3,75.2,68.9,5.8,4,1
4.9,76.0,52.3,5.4,4,0
18.4,83.2,83.5,8.4,3,1
16.8,81.3,75.9,6.8,5,1
19.1,,86.6,8.4,3,1
15.1,90.6,84.9,8.6,5,1
13.0,92.5,82.3,5.2,2,1
9.5,88.7,65.3,8.5,3,1
18.8,98.2,90.2,6.8,5,1
17.6,60.7,69.7,7.0,3,1
2.8,67.8,40.1,7.5,3,0
2.5,60.3,45.3,8.7,5,0
8.8,85.9,61.2,5.1,5,1
16.6,95.9,80.1,6.9,1,1
19.8,69.7,75.8,7.8,3,1
4.7,97.1,68.8,7.9,4,1
12.7,62.4,58.5,7.8,3,1
8.9,97.4,63.7,5.5,3,1
19.5,74.1,84.9,6.2,5,1
17.2,64.1,73.9,6.4,3,1
17.1,79.4,78.5,8.2,3,1
10.4,70.3,61.0,6.1,4,1
9.5,71.4,61.3,5.8,5,1
6.9,72.3,56.6,8.8,3,1
3.0,92.1,51.6,5.0,2,0
17.6,81.6,76.3,9.0,1,1
16.6,72.5,81.2,7.7,4,1
20.0,84.4,81.7,8.3,3,1
19.9,88.6,88.0,6.2,2,1
12.0,70.9,56.5,5.1,3,1
15.8,76.5,77.1,8.0,3,1
19.0,64.9,75.6,8.3,5,1
17.3,67.2,83.3,8.0,5,1
6.5,87.2,59.1,5.6,5,0
10.1,67.3,60.1,8.0,2,1
4.3,81.0,61.3,8.1,3,0
19.2,88.4,79.4,7.6,1,1
12.9,64.3,61.7,8.1,4,1
6.1,82.7,58.9,8.4,5,1
14.1,70.3,70.9,7.5,5,1
13.1,98.5,84.1,5.4,3,1
8.4,79.3,59.7,7.0,3,1
4.0,92.2,52.6,5.3,2,0
14.1,82.0,63.1,6.6,2,1
11.4,61.7,71.6,6.6,5,1
15.9,85.3,88.9,5.3,3,1
11.4,98.1,76.6,6.4,1,1
17.3,84.1,80.7,5.4,4,1
11.9,92.8,80.0,8.2,3,1
12.1,95.4,82.6,8.8,3,1
17.8,69.1,72.8,5.3,2,1
9.3,68.5,61.0,8.8,4,1
4.4,84.4,67.2,7.1,5,1
2.5,76.4,41.1,6.2,3,0
15.6,93.6,93.0,5.3,5,1
13.2,96.0,78.8,7.0,3,1
14.7,74.1,70.9,8.2,5,1
5.8,69.5,49.3,7.8,4,0
4.5,91.2,54.2,5.2,2,0
2.3,71.0,42.0,5.3,4,0
8.3,92.9,73.9,6.6,1,1
12.6,76.9,70.2,6.2,2,1
9.1,86.7,74.8,5.9,4,1
9.9,63.8,56.5,6.1,1,0
18.3,85.0,85.3,8.2,3,1
8.3,78.1,61.9,8.7,3,1
11.3,83.5,72.2,6.6,5,1
16.1,66.7,68.0,8.6,2,1
9.1,89.5,62.0,6.3,3,1
13.2,94.5,83.1,6.9,2,1
17.5,68.7,66.3,5.9,3,1
19.1,63.8,74.8,7.6,5,1
4.6,60.9,57.8,8.9,4,0
18.7,85.7,90.9,7.4,5,1
10.9,84.3,66.7,6.4,1,1
6.6,81.9,63.4,7.6,3,1
10.3,69.3,49.5,5.5,1,0
19.6,75.6,72.1,8.6,1,1
10.9,83.8,65.4,7.0,2,1
7.9,79.9,57.3,6.8,3,1
13.4,99.5,78.2,7.3,1,1
6.3,65.5,55.8,7.5,4,0
3.4,87.8,59.6,5.3,1,0
4.3,,58.8,7.7,4,0
4.3,77.1,46.2,6.0,2,0
4.7,88.7,53.9,7.9,1,0
4.5,87.7,59.6,8.3,5,1
13.5,99.7,75.8,8.2,2,1
5.3,65.1,44.9,7.2,4,0
8.2,64.2,60.8,7.1,2,1
18.1,89.0,82.8,5.6,1,1
10.5,83.1,67.5,8.1,3,1
14.0,71.0,71.9,6.1,3,1
5.1,63.2,52.5,7.0,4,0
5.5,63.4,56.2,6.1,4,0
2.7,95.8,55.6,5.5,3,1
5.0,67.7,53.9,7.5,4,0
7.0,72.9,49.9,5.2,2,0
5.2,69.1,54.0,8.0,5,0
3.6,74.2,54.6,6.3,5,0
4.2,62.8,44.5,5.0,2,0
10.3,80.8,71.5,7.0,5,1
5.7,62.7,48.8,5.2,1,0
8.6,92.0,64.1,6.1,2,1
11.1,69.3,65.7,7.8,4,1
14.4,81.6,69.9,5.3,2,1
2.7,95.2,73.6,8.4,3,1
16.4,86.0,79.2,5.0,4,1
13.3,81.3,69.8,6.0,3,1
3.5,73.0,55.8,8.0,4,0
17.7,73.3,80.0,6.3,5,1
18.6,86.8,89.0,5.4,2,1
3.1,99.8,58.8,6.4,1,0
7.0,86.5,63.2,6.1,4,1
16.5,82.3,78.4,8.4,4,1
15.5,89.2,77.6,6.3,3,1
5.3,78.6,58.0,8.2,5,0
5.8,62.4,47.9,8.6,3,0
,82.5,60.4,6.7,3,1
10.7,98.3,80.0,8.6,5,1
13.1,67.0,56.3,6.5,1,1
8.6,87.6,70.9,8.9,3,1
10.3,68.0,65.4,5.4,3,1
15.5,81.4,76.1,7.7,4,1
2.7,63.9,43.5,7.0,5,0
6.5,78.0,57.0,6.6,2,1
14.8,90.2,83.1,7.5,1,1
18.1,73.9,82.6,7.8,1,1
11.2,86.6,68.7,5.0,5,1
11.6,91.8,82.1,5.7,4,1
3.9,97.1,64.1,7.9,4,1
10.1,69.4,64.6,7.7,5,1
11.6,76.0,71.7,8.9,4,1
6.4,66.1,45.4,8.0,1,0
6.8,99.7,71.0,8.8,1,1
8.8,97.1,77.2,7.8,2,1
2.4,81.6,62.8,6.2,5,0
7.8,93.7,59.2,5.4,3,1
5.8,80.8,56.9,8.1,3,1
7.9,84.9,52.6,7.6,2,1
4.2,63.6,40.3,5.2,2,0
,90.2,77.2,6.4,4,1
12.7,65.1,64.2,8.8,2,1
14.2,93.0,80.1,7.0,2,1
16.2,91.3,81.9,6.7,3,1
11.0,88.3,70.2,6.8,4,1
3.6,61.4,43.4,5.8,2,0
11.7,72.1,58.3,6.5,2,1
12.6,70.5,63.0,6.5,4,1
15.4,74.4,72.0,5.2,5,1
9.8,63.5,58.3,8.1,4,1
4.3,97.5,60.4,6.7,3,1
7.1,82.2,63.4,8.3,5,1
8.5,72.2,57.8,8.4,1,1
13.6,75.9,78.0,5.8,4,1
12.3,77.9,76.7,7.6,3,1
8.4,84.0,69.1,6.9,5,1
19.8,80.6,89.6,8.5,4,1
12.9,96.8,79.1,5.9,2,1
6.3,79.9,52.1,7.7,4,1
3.8,99.7,57.7,7.4,1,1
4.8,94.1,62.7,6.2,4,1
6.4,68.3,54.5,5.5,5,0
4.9,97.2,68.2,7.6,5,1
5.4,64.7,49.9,8.0,4,0
7.1,92.7,65.7,6.3,5,1
5.1,,51.1,7.6,2,0
18.1,95.1,88.6,6.6,4,1
3.4,94.7,45.2,7.9,2,0
11.4,92.2,66.0,5.8,2,1
9.4,91.6,71.0,8.6,3,1
19.7,72.2,88.9,6.1,4,1
4.0,63.2,37.5,6.5,5,0
9.2,76.1,56.0,5.2,2,1
19.5,66.9,80.5,5.4,3,1
17.6,87.8,91.4,7.1,4,1
16.7,73.8,76.2,6.1,4,1
6.6,99.0,61.4,8.3,1,1
5.1,85.6,61.1,5.1,1,0
14.0,92.9,82.5,6.5,2,1
18.7,65.3,76.4,6.3,1,1
12.0,94.5,72.9,5.1,2,1
12.3,96.9,88.6,5.5,5,1
7.0,79.5,48.1,6.7,2,0
15.9,84.3,81.5,7.0,1,1
5.4,90.6,65.7,6.6,5,1
7.8,67.0,51.8,7.1,1,0
9.7,80.1,58.6,7.4,2,1
11.1,75.9,57.2,5.0,3,1
6.4,65.9,54.2,6.9,4,0
4.1,74.7,50.2,8.9,1,0
13.0,62.7,64.9,7.1,2,1
7.2,61.0,57.9,7.7,5,0
12.5,65.4,61.5,6.2,1,1
